Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Start Date,Winner,Series,Team,Opposition,Venue
UT Yadav,8,8,64.2,5,321,18,17.83,4.98,21.4,2,0,15-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
Mohammed Shami,7,7,61,7,294,17,17.29,4.81,21.5,1,0,15-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
Kuldeep Yadav,6,6,51,1,236,17,13.88,4.62,18,2,0,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
YS Chahal,6,6,52.1,1,262,16,16.37,5.02,19.5,1,1,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
A Mishra,5,5,44.5,2,215,15,14.33,4.79,17.9,0,1,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
JJ Bumrah,5,5,43.2,4,169,15,11.26,3.9,17.3,1,1,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
R Ashwin,8,8,77,6,330,13,25.38,4.28,35.5,1,0,15-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
MM Sharma,8,8,63,4,314,13,24.15,4.98,29,0,0,15-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
AR Patel,5,5,43.1,2,199,11,18.09,4.61,23.5,0,0,02-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
Mohammed Shami,3,3,27.4,1,174,10,17.4,6.28,16.6,2,0,08-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
UT Yadav,4,4,33.2,3,169,10,16.9,5.07,20,1,0,02-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
Kuldeep Yadav,6,6,58,2,237,10,23.7,4.08,34.8,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
R Ashwin,4,4,39.4,4,167,9,18.55,4.21,26.4,0,0,26-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
Mohammed Shami,4,4,37.2,1,230,9,25.55,6.16,24.8,1,0,26-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
RA Jadeja,8,8,66.4,0,357,9,39.66,5.35,44.4,0,0,15-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
I Sharma,4,4,40,0,250,9,27.77,6.25,26.6,1,0,15-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
JJ Bumrah,3,3,25.5,3,77,9,8.55,2.98,17.2,2,0,11-Jun-16,India,"India in Zimbabwe ODI Series, 2016",India,Zimbabwe,AWAY
Kuldeep Yadav,3,3,30,0,148,9,16.44,4.93,20,0,1,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
Kuldeep Yadav,4,4,33.2,1,179,9,19.88,5.37,22.2,0,0,24-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
YS Chahal,5,5,41,0,219,9,24.33,5.34,27.3,0,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
Mohammed Shami,4,4,29,2,138,9,15.33,4.75,19.3,0,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
Mohammed Shami,4,4,32.3,1,152,8,19,4.67,24.3,0,0,27-Aug-14,India,"India in England ODI Series, 2014",India,England,AWAY
DS Kulkarni,3,3,27.2,1,149,8,18.62,5.45,20.5,1,0,09-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
UT Yadav,5,5,41,1,236,8,29.5,5.75,30.7,0,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
Kuldeep Yadav,5,4,39,2,158,8,19.75,4.05,29.2,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
JJ Bumrah,6,6,42,2,167,8,20.87,3.97,31.5,0,0,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
