Rating,Name,Career Best,
808,JJ Bumrah,841,
788,Rashid Khan,806,
732,TA Boult,766,
719,Kuldeep Yadav,765,
709,YS Chahal,730,
695,Mustafizur Rahman,695,
688,K Rabada,724,
683,AU Rashid,687,
679,Mujeeb Ur Rahman,691,
665,JR Hazlewood,733,
654,Imran Tahir,786,
642,CR Woakes,673,
641,A Dananjaya,651,
634,Hasan Ali,766,
633,Mohammad Nabi,653,
629,DW Steyn,746,
628,B Kumar,658,
623,MA Starc,783,
613,AL Phehlukwayo,613,
607,PJ Cummins,629,
602,TJ Murtagh,613,
601,MM Ali,629,
599,MJ Henry,675,
597,Shadab Khan,607,
593,Mashrafe Mortaza,653,
592,MJ Santner,663,
584,Shakib Al Hasan,717,
578,Mehidy Hasan,578,
571,LE Plunkett,646,
563,Mohammad Shami,654,
562,Mohammad Amir,581,
557,MA Wood,586,
552,RA Jadeja,738,
549,LH Ferguson,562,
548,RAS Lakmal,594,
546,IS Sodhi,567,
542,SM Sharif,542,
541,AR Nurse,568,
540,AG Cremer,584,
535,JO Holder,611,
534,DJ Willey,551,
529,Junaid Khan,656,
519,Imad Wasim,554,
516,D Pretorius,516,
507,SL Malinga,675,
505,TG Southee,638,
501,L Ngidi,514,
501,WB Rankin,592,
498,Mohammad Hafeez,769,
495,TL Chatara,562,
485,Rubel Hossain,514,
483,AR McBrine,502,
482,HH Pandya,553,
482,Sikandar Raza,489,
477,Dawlat Zadran,574,
475,KAJ Roach,650,
470,Mohammad Naveed,470,
470,N Pradeep,506,
467,PVD Chameera,482,
466,GH Dockrell,589,
460,NM Coulter-Nile,513,
459,Ahmed Raza,466,
456,C de Grandhomme,463,
454,MRJ Watt,454,
454,Yasir Shah,487,
451,AD Mathews,649,
441,Nadeem Ahmed,448,17-03-2018
440,A Zampa,481,
440,CH Morris,507,
436,D Bishoo,442,
433,UT Yadav,600,
430,Gulbadin Naib,446,
430,JA Richardson,430,
428,Shaheen Afridi,428,
421,AC Evans,421,
419,Faheem Ashraf,427,
418,KJ O'Brien,477,
418,KW Richardson,433,
416,BJ McCarthy,435,
416,MP Stoinis,417,
416,Ehsan Khan,416,
412,Rohan Mustafa,422,
411,SC Williams,477,
409,NLTC Perera,610,
405,BA Stokes,466,
404,DAJ Bracewell,437,
398,T Shamsi,402,
398,KM Jarvis,398,
395,Shapoor Zadran,487,
394,KM Jadhav,399,
392,Imran Haider,392,
388,Usman Khan,399,
386,Aftab Alam,386,
385,JT Ball,475,
383,MD Dai,386,
369,B Wheal,371,
368,NM Lyon,379,
356,DAS Gunaratne,411,
354,Mohammad Nawaz,374,
353,S Prasanna,442,
