Team,Mat,Won,Lost,Tied,NR,WbyL,Ave,RPO,Inns,HS,LS,Start Date,Winner,Tournament,Opposition,Venue
Australia,5,1,4,0,0,0.25,46.32,5.53,5,288,-,16-Jan-09,South Africa,ODI Series,South Africa,Australia
India,5,4,1,0,0,4,28.62,5.38,5,320,216,28-Jan-09,India,ODI Series,Sri Lanka,Sri Lanka
Australia,4,2,2,0,0,1,30.7,4.69,4,269,269,01-Feb-09,drawn,ODI Series,New Zealand,Australia
India,4,3,1,0,0,3,35.26,6.39,4,334,334,03-Mar-09,India,ODI Series,New Zealand,New Zealand
Australia,5,2,3,0,0,0.666,32.54,5.54,5,317,145,03-Apr-09,South Africa,ODI Series,South Africa,South Africa
Australia,5,3,2,0,0,1.5,25.64,4.28,5,254,171,22-Apr-09,Australia,ODI Series,Pakistan,UAE
India,3,2,1,0,0,2,36.68,6.37,3,319,319,26-Jun-09,India,ODI Series,West Indies,West Indies
Australia,1,1,0,0,0,-,15.6,3.94,1,156,156,28-Aug-09,Australia,ODI Series,Scotland,Scotland
Australia,7,6,1,0,0,6,25,4.86,7,299,185,04-Sep-09,Australia,ODI Series,England,England
India,3,2,1,0,0,2,28.26,5.13,3,307,155,11-Sep-09,India,Tri Series,,Sri Lanka
Australia,4,4,0,0,0,-,26.08,4.56,4,257,225,26-Sep-09,Australia,ICC,,South Africa
India,2,1,1,0,0,1,22.68,5.01,2,302,129,26-Sep-09,Australia,ICC,,South Africa
Australia,6,4,2,0,0,2,37.75,5.34,6,350,250,25-Oct-09,Australia,ODI Series,India,India
India,6,2,4,0,0,0.5,37.75,5.34,6,350,250,25-Oct-09,Australia,ODI Series,Australia,India
India,4,3,1,0,0,3,40.87,6.54,4,411,239,15-Dec-09,India,ODI Series,Sri Lanka,India
India,5,3,2,0,0,1.5,39.03,5.3,5,296,213,05-Jan-10,Sri Lanka,Tri Series,,Bangladesh
Australia,5,5,0,0,0,-,20.02,4.5,5,274,127,22-Jan-10,Australia,ODI Series,Pakistan,Australia
Australia,4,4,0,0,0,-,20.68,4.88,4,274,143,07-Feb-10,Australia,ODI Series,West Indies,Australia
India,3,2,1,0,0,2,41.36,6.37,3,365,248,21-Feb-10,India,ODI Series,South Africa,India
Australia,5,3,2,0,0,1.5,26.76,5.39,5,281,238,03-Mar-10,Australia,ODI Series,New Zealand,New Zealand
India,4,1,3,0,0,0.333,47.52,5.39,4,289,242,28-May-10,Sri Lanka,Tri Series,,Zimbabwe
India,4,3,1,0,0,3,25.21,4.99,4,267,167,16-Jun-10,India,Asia Cup,,Sri Lanka
Australia,1,1,0,0,0,-,19.2,4.57,1,192,192,17-Jun-10,Australia,ODI Series,Ireland,Ireland
Australia,5,2,3,0,0,0.666,28.58,5.1,5,268,212,22-Jun-10,England,ODI Series,England,England
India,5,2,3,0,0,0.666,24.47,5.14,5,299,118,10-Aug-10,Sri Lanka,Tri Series,,Sri Lanka
Australia,1,0,1,0,0,0,96.33,5.78,1,289,-,20-Oct-10,India,ODI Series,India,India
India,1,1,0,0,0,-,96.33,5.78,1,289,-,20-Oct-10,India,ODI Series,Australia,India
Australia,3,1,2,0,0,0.5,25.95,4.85,3,243,115,03-Nov-10,Sri Lanka,ODI Series,Sri Lanka,Australia
India,5,5,0,0,0,-,25.81,5.1,5,315,103,28-Nov-10,India,ODI Series,New Zealand,India
India,5,2,3,0,0,0.666,26.95,5.08,5,289,189,12-Jan-11,South Africa,ODI Series,South Africa,South Africa
Australia,7,6,1,0,0,6,27.25,5.25,7,333,184,16-Jan-11,Australia,ODI Series,England,Australia
India,9,7,1,1,0,7,29.86,5.19,9,338,188,19-Feb-11,India,ICC,,India
Australia,6,4,2,0,0,2,27.46,4.68,6,264,171,21-Feb-11,India,ICC,,India
Australia,1,1,0,0,0,-,20.6,4.56,1,206,206,25-Feb-11,Australia,Tri Series,,India
Australia,3,3,0,0,0,-,40.77,4.89,3,295,-,09-Apr-11,Australia,ODI Series,Bangladesh,Bangladesh
India,5,3,2,0,0,1.5,31.97,4.75,5,255,-,06-Jun-11,India,ODI Series,West Indies,West Indies
Australia,5,3,2,0,0,1.5,22.88,4.55,5,286,132,10-Aug-11,Australia,ODI Series,Sri Lanka,Sri Lanka
India,4,0,3,1,0,0,41.68,6.31,4,270,-,06-Sep-11,England,ODI Series,England,England
India,5,5,0,0,0,-,25.11,5.07,5,298,174,14-Oct-11,India,ODI Series,England,India
Australia,3,2,1,0,0,2,29.72,5.36,3,303,129,19-Oct-11,Australia,ODI Series,South Africa,South Africa
India,5,4,1,0,0,4,28.79,5.08,5,269,233,29-Nov-11,India,ODI Series,West Indies,India
Australia,11,6,5,0,0,1.2,28.25,5.14,11,306,151,05-Feb-12,Australia,Tri Series,,Australia
Australia,4,3,1,0,0,3,37.96,5.63,4,288,-,05-Feb-12,Australia,Tri Series,,Australia
India,8,3,4,1,0,0.75,38.94,5.5,8,320,-,05-Feb-12,Australia,Tri Series,,Australia
India,3,2,1,0,0,2,41.71,6.06,3,329,254,13-Mar-12,Pakistan,Asia Cup,,Bangladesh
Australia,5,2,2,1,0,1,25.42,4.9,5,294,140,16-Mar-12,drawn,ODI Series,West Indies,West Indies
Australia,4,0,4,0,0,0,61.64,5.05,4,272,-,29-Jun-12,England,ODI Series,England,England
India,5,4,1,0,0,4,37.66,5.76,5,293,274,21-Jul-12,India,ODI Series,Sri Lanka,Sri Lanka
Australia,1,1,0,0,0,-,20.6,4.69,1,206,206,25-Aug-12,Australia,ODI Series,Afghanistan,UAE
Australia,3,2,1,0,0,2,34.55,4.97,3,249,198,28-Aug-12,Australia,ODI Series,Pakistan,UAE
India,3,1,2,0,0,0.5,26.45,4.36,3,250,157,30-Dec-12,Pakistan,ODI Series,Pakistan,India
Australia,4,2,2,0,0,1,23.57,4.43,4,215,198,11-Jan-13,drawn,ODI Series,Sri Lanka,Australia
India,5,3,2,0,0,1.5,33,4.97,5,325,155,11-Jan-13,India,ODI Series,England,India
Australia,5,5,0,0,0,-,20.98,5.01,5,290,70,01-Feb-13,Australia,ODI Series,West Indies,Australia
India,5,5,0,0,0,-,22.4,4.8,5,305,165,06-Jun-13,India,ICC,,England
Australia,2,0,2,0,0,0,37.28,5.22,2,269,-,08-Jun-13,India,ICC,,England
India,5,3,2,0,0,1.5,26.15,5.09,5,348,96,30-Jun-13,India,Tri Series,,West Indies
India,5,5,0,0,0,-,20.73,4.17,5,236,144,24-Jul-13,India,ODI Series,Zimbabwe,Zimbabwe
Australia,1,1,0,0,0,-,16.2,3.69,1,162,162,03-Sep-13,Australia,ODI Series,Scotland,Scotland
Australia,3,2,1,0,0,2,26.18,4.98,3,249,227,08-Sep-13,Australia,ODI Series,England,England
Australia,6,2,3,0,1,0.666,45.06,6.57,6,359,326,13-Oct-13,India,ODI Series,India,India
India,5,3,2,0,0,1.5,46.94,6.71,5,359,326,13-Oct-13,India,ODI Series,Australia,India
India,3,2,1,0,0,2,33.17,5.14,3,289,211,21-Nov-13,India,ODI Series,West Indies,India
India,2,0,2,0,0,0,63.8,6.44,2,358,-,05-Dec-13,South Africa,ODI Series,South Africa,South Africa
Australia,5,4,1,0,0,4,31.9,5.36,5,316,212,12-Jan-14,Australia,ODI Series,England,Australia
India,5,0,4,1,0,0,45.62,6.07,5,314,314,19-Jan-14,New Zealand,ODI Series,New Zealand,New Zealand
India,4,2,2,0,0,1,28,4.89,4,279,159,26-Feb-14,Sri Lanka,Asia Cup,,Bangladesh
India,2,2,0,0,0,-,17.36,4.87,2,272,58,15-Jun-14,India,ODI Series,Bangladesh,Bangladesh
Australia,5,2,3,0,0,0.666,33.29,5.16,5,328,152,25-Aug-14,South Africa,Tri Series,,Zimbabwe
India,4,3,1,0,0,3,24,4.73,4,294,161,27-Aug-14,India,ODI Series,England,England
Australia,3,3,0,0,0,-,20.23,4.46,3,230,162,07-Oct-14,Australia,ODI Series,Pakistan,UAE
India,3,2,1,0,0,2,31.03,5.57,3,321,215,08-Oct-14,India,ODI Series,West Indies,India
India,5,5,0,0,0,-,27.1,5.4,5,286,194,02-Nov-14,India,ODI Series,Sri Lanka,India
Australia,5,4,1,0,0,4,30.7,5.57,5,280,256,14-Nov-14,Australia,ODI Series,South Africa,Australia
Australia,4,4,0,0,0,-,26.94,5.18,4,303,166,16-Jan-15,Australia,Tri Series,,Australia
Australia,2,1,0,0,1,-,44.83,5.48,1,269,-,18-Jan-15,Australia,Tri Series,,Australia
India,3,0,3,0,0,0,44.71,5.07,3,269,-,18-Jan-15,Australia,Tri Series,,Australia
Australia,8,7,1,0,0,7,20.46,5.04,8,312,130,14-Feb-15,Australia,ICC,,Australia
India,8,7,1,0,0,7,22.75,4.92,8,328,102,15-Feb-15,Australia,ICC,,Australia
Australia,1,0,1,0,0,0,16.88,6.56,1,152,-,28-Feb-15,New Zealand,ODI Series,New Zealand,New Zealand
India,3,1,2,0,0,0.5,31.12,5.54,3,307,240,18-Jun-15,Bangladesh,ODI Series,Bangladesh,Bangladesh
India,3,3,0,0,0,-,24.18,4.6,3,251,193,10-Jul-15,India,ODI Series,Zimbabwe,Zimbabwe
Australia,1,1,0,0,0,-,15.7,6.63,1,157,157,27-Aug-15,Australia,ODI Series,Ireland,Ireland
Australia,5,3,2,0,0,1.5,28.02,5.62,5,304,138,03-Sep-15,Australia,ODI Series,England,England
India,5,2,3,0,0,0.666,42.85,6.15,5,438,225,11-Oct-15,South Africa,ODI Series,South Africa,India
Australia,5,4,1,0,0,4,53.1,6.44,5,348,-,12-Jan-16,Australia,ODI Series,India,Australia
India,5,1,4,0,0,0.25,53.1,6.44,5,348,-,12-Jan-16,Australia,ODI Series,Australia,Australia
Australia,3,1,2,0,0,0.5,30.88,5.73,3,307,246,03-Feb-16,New Zealand,ODI Series,New Zealand,New Zealand
Australia,6,4,2,0,0,2,24.84,4.85,6,282,116,05-Jun-16,Australia,Tri Series,,West Indies
India,3,3,0,0,0,-,14.37,3.29,3,168,123,11-Jun-16,India,ODI Series,Zimbabwe,Zimbabwe
Australia,5,4,1,0,0,4,23.91,4.81,5,288,195,21-Aug-16,Australia,ODI Series,Sri Lanka,Sri Lanka
Australia,1,1,0,0,0,-,19.8,4.51,1,198,198,27-Sep-16,Australia,ODI Series,Ireland,South Africa
